t=2026-02-11T09:58:35+0300 lvl=info msg="no configuration paths supplied"
t=2026-02-11T09:58:35+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\sefa1\\AppData\\Local/ngrok/ngrok.yml
t=2026-02-11T09:58:35+0300 lvl=info msg="open config file" path=C:\\Users\\sefa1\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-02-11T09:58:35+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-11T09:58:35+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-11T09:58:35+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-11T09:58:35+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-11T09:58:36+0300 lvl=info msg="update available" obj=updater
t=2026-02-11T09:58:36+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5000 url=https://arminda-unweeping-mystifiedly.ngrok-free.dev
t=2026-02-11T09:58:37+0300 lvl=info msg=start pg=/api/tunnels id=31850fe78a279553
t=2026-02-11T09:58:37+0300 lvl=info msg=end pg=/api/tunnels id=31850fe78a279553 status=200 dur=0s
t=2026-02-11T10:00:02+0300 lvl=info msg="join connections" obj=join id=a5e55e78774d l=127.0.0.1:5000 r=34.212.75.30:30198
t=2026-02-11T10:00:03+0300 lvl=info msg="join connections" obj=join id=e1022513aef6 l=127.0.0.1:5000 r=34.212.75.30:16332
t=2026-02-11T10:05:01+0300 lvl=info msg="join connections" obj=join id=3c84bf6bdc52 l=127.0.0.1:5000 r=34.212.75.30:33118
t=2026-02-11T10:05:02+0300 lvl=info msg="join connections" obj=join id=2aa82a3ecc07 l=127.0.0.1:5000 r=52.32.178.7:20998
t=2026-02-11T10:10:01+0300 lvl=info msg="join connections" obj=join id=4c22bc0e7d94 l=127.0.0.1:5000 r=34.212.75.30:25046
t=2026-02-11T10:10:02+0300 lvl=info msg="join connections" obj=join id=ab590462a574 l=127.0.0.1:5000 r=52.32.178.7:19584
t=2026-02-11T10:15:02+0300 lvl=info msg="join connections" obj=join id=41e76d408827 l=127.0.0.1:5000 r=52.32.178.7:43776
t=2026-02-11T10:15:04+0300 lvl=info msg="join connections" obj=join id=bee909520819 l=127.0.0.1:5000 r=52.32.178.7:52632
t=2026-02-11T10:20:02+0300 lvl=info msg="join connections" obj=join id=fab23b64e2bc l=127.0.0.1:5000 r=34.212.75.30:33520
t=2026-02-11T10:20:02+0300 lvl=info msg="join connections" obj=join id=41eb9603f26d l=127.0.0.1:5000 r=34.212.75.30:41838
t=2026-02-11T10:25:03+0300 lvl=info msg="join connections" obj=join id=699e1addca3c l=127.0.0.1:5000 r=34.212.75.30:22482
t=2026-02-11T10:25:03+0300 lvl=info msg="join connections" obj=join id=3ed84ea5dcd4 l=127.0.0.1:5000 r=52.32.178.7:47600
t=2026-02-11T10:30:02+0300 lvl=info msg="join connections" obj=join id=b478ef211712 l=127.0.0.1:5000 r=34.212.75.30:16564
t=2026-02-11T10:30:03+0300 lvl=info msg="join connections" obj=join id=78b0ce4a2093 l=127.0.0.1:5000 r=52.32.178.7:40574
t=2026-02-11T10:40:01+0300 lvl=info msg="join connections" obj=join id=77267a0b3ba2 l=127.0.0.1:5000 r=34.212.75.30:27296
t=2026-02-11T10:40:01+0300 lvl=info msg="join connections" obj=join id=770614a92bf9 l=127.0.0.1:5000 r=34.212.75.30:48682
t=2026-02-11T10:40:53+0300 lvl=info msg="join connections" obj=join id=e465f79f3149 l=127.0.0.1:5000 r=66.249.68.69:45312
t=2026-02-11T10:40:54+0300 lvl=info msg="join connections" obj=join id=cc7c4573d529 l=127.0.0.1:5000 r=74.125.150.70:55501
t=2026-02-11T10:45:01+0300 lvl=info msg="join connections" obj=join id=8f5bcb6554d7 l=127.0.0.1:5000 r=34.212.75.30:33880
t=2026-02-11T10:45:02+0300 lvl=info msg="join connections" obj=join id=c568676045d7 l=127.0.0.1:5000 r=52.32.178.7:41234
t=2026-02-11T10:50:01+0300 lvl=info msg="join connections" obj=join id=a5fafd165f5d l=127.0.0.1:5000 r=34.212.75.30:18608
t=2026-02-11T10:50:01+0300 lvl=info msg="join connections" obj=join id=4ccd4245ff0d l=127.0.0.1:5000 r=52.32.178.7:38212
t=2026-02-11T11:10:01+0300 lvl=info msg="join connections" obj=join id=12a7e8ae0828 l=127.0.0.1:5000 r=52.32.178.7:59994
t=2026-02-11T11:10:01+0300 lvl=info msg="join connections" obj=join id=5c755dcb2c82 l=127.0.0.1:5000 r=34.212.75.30:52232
t=2026-02-11T11:15:02+0300 lvl=info msg="join connections" obj=join id=96db59a8b91f l=127.0.0.1:5000 r=34.212.75.30:17206
t=2026-02-11T11:15:03+0300 lvl=info msg="join connections" obj=join id=954b345a3c6c l=127.0.0.1:5000 r=34.212.75.30:58102
t=2026-02-11T11:20:02+0300 lvl=info msg="join connections" obj=join id=b1e4e1f58e97 l=127.0.0.1:5000 r=52.32.178.7:26984
t=2026-02-11T11:20:02+0300 lvl=info msg="join connections" obj=join id=8e9d80f059b0 l=127.0.0.1:5000 r=52.32.178.7:29994
t=2026-02-11T11:25:01+0300 lvl=info msg="join connections" obj=join id=25148d8fabe9 l=127.0.0.1:5000 r=52.32.178.7:17770
t=2026-02-11T11:25:01+0300 lvl=info msg="join connections" obj=join id=69b493a0c2a2 l=127.0.0.1:5000 r=34.212.75.30:60760
t=2026-02-11T11:30:01+0300 lvl=info msg="join connections" obj=join id=5d172117caef l=127.0.0.1:5000 r=34.212.75.30:40588
t=2026-02-11T11:30:01+0300 lvl=info msg="join connections" obj=join id=650f4a6a03ba l=127.0.0.1:5000 r=34.212.75.30:40672
t=2026-02-11T11:35:00+0300 lvl=info msg="join connections" obj=join id=87061ec76d04 l=127.0.0.1:5000 r=52.32.178.7:51018
t=2026-02-11T11:35:00+0300 lvl=info msg="join connections" obj=join id=ca8122c19f12 l=127.0.0.1:5000 r=52.32.178.7:25548
